well,sample,replicate,qPCR_replicate
C3,input_0.5,1,1
C4,input_0.5,2,1
C5,assembled_0.5,1,1
C6,assembled_0.5,2,1
C7,input_0.25,1,1
C8,input_0.25,2,1
C9,assembled_0.25,1,1
C10,assembled_0.25,2,1
D3,input_0.5,1,2
D4,input_0.5,2,2
D5,assembled_0.5,1,2
D6,assembled_0.5,2,2
D7,input_0.25,1,2
D8,input_0.25,2,2
D9,assembled_0.25,1,2
D10,assembled_0.25,2,2
E3,input_0.5,1,3
E4,input_0.5,2,3
E5,assembled_0.5,1,3
E6,assembled_0.5,2,3
E7,input_0.25,1,3
E8,input_0.25,2,3
E9,assembled_0.25,1,3
E10,assembled_0.25,2,3
